ID,race/ethnicity,gender,dob,age,years_education,Shipley_score,aeisil,astianes,audord,bineald,comcear,derianes,emtrop,enbew,fonbet,genogis,hivint,imvelt,magrelts,nuspril,poffute,praroon,rivolzy,rogiom,rolap,rotoule,roturt,socune,tamards,tecioos,ulbin,WL_aeisil,WL_astianes,WL_audord,WL_bineald,WL_comcear,WL_derianes,WL_emtrop,WL_enbew,WL_fonbet,WL_genogis,WL_hivint,WL_imvelt,WL_magrelts,WL_nuspril,WL_poffute,WL_praroon,WL_rivolzy,WL_rogiom,WL_rolap,WL_rotoule,WL_roturt,WL_socune,WL_tamards,WL_tecioos,WL_ulbin
SMB001,"White, not of Hispanic Origin",Female,11/11/2004,21,17,30,Describing a person who is obselete,Something that is annoyingly painful,Of or related to hearing and auxillary,A mundane or boring characteristic,To divert or change direction,People who are cheery and warmful,Pertaining to something or someone indoors,To engender or create,A meeting of two people or things,The ability to absorb something,A slight incling or idea,To melt or blend into something,Principles of integrity,A leak of fluid,To add fluff or superfluous matter,A pariah or outcast,Trying to impress someone,A regime or entity,To combine something,To reevaluate or reaccess,A characteristic for something or someone vibrant,A great degree effected or negatively impacted,Demands that must be met,Hints or helpful tricks,The ability to be placed somewhere,7,7,6,6,7,6,6,6,4,4,4,7,3,3,4,4,3,5,6,6,5,4,,2,5
SMB002,"White, not of Hispanic Origin",Female,4/19/2007,18,14,31,The name of the canvas artists work on to paint,To not touch your partner until marriage,The type of cord you have to use to plug in your monitor to your computer,This is a type of building/store where they sell toppers for men without hair on the tops of their head,To conceal/not tell the entire truth,A type of flowers that only bloom in the spring/with lots of rain,To intrude/butt your way into someone elses buisness,The feeling of getting mad at someone and then blowing up in their face,To be fond of something happening and knowing that it is going to happen before it does,An illness that someone would get for not brushing their teeth,The inclining feeling that something bad is going to happen,When you owe someone something/feel like you owe someone something,A bad smell that happens when food is left out,The name of the beginning of flowers when they're about to bloom,The type of pastry that's put over savory foods,The type of fish that likes to eat human flesh,The way a child goes crazy before their bedtime,When you go for a walk without any music/sound or direction and you just walk,When you are going at the same time as someone in a race and one of you passes the other,The path that you're taking when you don't quite know where you're going,A mistake made in/during a project,To have to do something and feel forced to do it,A type of fish that no one really likes because it smells,When you're going home on the bus and this is said meaning to be safe/cautious,When you go to court to tell what happened in a certain crime because you were there,3,2,5,5,7,6,7,7,2,7,1,5,6,6,3,5,6,1,5,6,7,6,6,1,1
SMB003,Asian or Pacific Islander,Female,11/4/2006,19,14,29,Easy to comprehend (talking about subject or concept),Scholarly individuals that are helpful and tutor others,The amount of love and care you feel towards someone,A cleaning spray used for wood floors with Mr. Clean looking guy on the bottle,"Calling someone to come over, in a crowd full of people",Used to describe a hot terrain,"A feeling of stuck, trapped",A feeling of mind-blown after hearing gossip about someone you know,"A type of bet, that is not smart to place but is for fun",A king's army from early history,A ball that was thrown and went so far,A way to describe a soft velvet,Feeling of regret,A nasal spray brand you use when sick,A pungent smell,Pruning and taking care of someone,"The feeling of a frenzy, hurried",A type of strict regime you are on,"Cold, wintery day how that feels",A kitchen appliance that rolls out pasta into different shapes,Used to describe someone being tortured,A type of commune for soccer players,A type of fruit you find in the jungle,Used to describe a technological genius,Feeling of down; so down that the person needs to sleep for more than half the day,2,2,5,3,2,7,7,1,2,6,1,2,2,3,6,4,7,1,4,3,1,3,6,1,3
SMB004,"White, not of Hispanic Origin",Female,7/22/1997,28,17,36,A type of herb or spice,Professional boat enthusiasts or experts,Unharmonious sound,To believe in two religions or spiritual practices,The window panes on a skyscraper,Rear windows of house,To decay by expanding outwards,To bestow upon,Type of hat,Family history - the beginning of ancestral line,Small amount of honey,New clothing,Small pebbles or grit on the inside of your shoe,Cold medicine,To haughtily refuse to do something,Hazelnut macaron,A party that leaves you feeling disturbed,Hair care routine,The middle part of a Venn Diagram,"A type of pasta, spiral-shaped",Round pastry with probiotic benefits,Aware of energetic vibe in surrounding area,Leftover vegetable scraps best used for stock,Sweet frosting,Body fluid from digestive region,2,7,6,1,3,5,4,4,3,6,1,2,4,5,7,2,2,3,4,5,6,7,7,1,6
SMB005,"White, not of Hispanic Origin",Male,10/26/2004,21,18,28,The chemicals that create fake smoke/fog in smoke/fog machines,Large abandoned structures that once housed ancient armies,A fancy ornament at a weddng,To own something precious without telling anyone,"To allow, begrudgingly, as one does when they admit being wrong",Multiple of a tropical fruit,To set someone up for failure,Trusting someone with a task,A strategy when betting on Blackjack at a casino,A specific subsect of a family tree,The ability to have perfect clarity in one's vision,The specific process where melted solids become solid again,Small desert bugs that are harmless,A specific process that occurs in the nose when in allergy season,"Giving a strong but pleasant smell, like too much perfume",The top-most rope on a sailboat,A type of pasta that originated in Poland,"A large gathering of people, often with a plan of action",The cold sensation you get when using very minty toothpaste,"Part of an eighteen-wheeler's tires, that allows for there to be two wheels on one axle",The specific name for the gear that spins the planetary models,To allow negative circumstances to get the best of you,A type of spicy legume that is common in Southern cooking,Overly timid,A type of storage vessel that doctors/dentists use for various medical instruments,3,4,4,4,5,3,4,4,2,1,2,3,2,5,5,1,2,1,3,6,4,5,7,1,3
SMB036,,Female,1/13/2003,23,17,30,The chemical found in spray aerosol bottles used for cleaning,The clean appearance on a window after being washed,The word to describe cute babies,The word used to describe someone who is bald and wears glasses,The butler of a rich family that greets guests and takes belongings,The metal clamps of a horse harness,The action of placing traps for hunting wild animals in the forest,Inbuing thread into fabric,The lace that goes around a night/sleeping bonnet,The name for the large creation of different planets,A word used for the name of horseback riders,The metal clasps found on a brocade,Small little french pastries that contain fruit and jam,The drug found in over counter pain reliever,The pompus attitude rich individuals have towards other civilians,"The lazy attitude similar to pandering around, avoiding a hard day's work",The atmosphere of a loud raucous party filled with revelry,The emotion/action of rumination,The name of the structure that causes your watch to tick,A word to describe the bullying a group of middle school children,The act of retorting back to someone who has insulted you,The act of carefully sipping water that is about to overfill in a glass,The bottom of heeled shoes,The tedious task of balancing rocks,The part of a sea urchin that is spiky,4,5,5,2,,,1,6,4,4,1,2,4,7,6,7,5,2,4,4,6,7,4,1,1
SMB038,"White, not of Hispanic Origin",Male,6/9/2003,22,16,32,A type of tree found in the mountains of Chile,The act of not participating in an activity,Identifying something based on sound alone,The process of hardening clay,Someone who greets people into a building,When a horse loses the ability to run,The act of placing an object ontop of another,To enchant an object with new features,A way of cooking or preparing food that involves whipping,The study of genes of avian animals,A tool used to measure atmospheric changes in pressure used to help predict weather,The process of melting two or more objects together,A type of screw used in the construction of factory machinery,A type of plant found on floor beds of forest,Describing something that is puffy looking,A device that releases a parachute from the bag it's held within,A device in which allows an object to revolve around,The type of spring used for ballpoint pens,A sturdy bag or sack sewn together by hand,A gear system that generates power from the spining of an object,To respond to someone in a challenging manner,"A mythical creature that poseses four legs, almost dog like, that has magical powers",Small spining toys made from wood,A person or thing that appears to be suspicious,To construct a bin or container,7,5,7,7,5,6,5,6,4,4,3,4,3,6,4,2,3,4,6,3,5,3,5,2,4
SMB006,"White, not of Hispanic Origin",Male,6/20/2005,20,15,36,A strongly scented liquid,Big yellow flowers,To misunderstand someone because you misheard them,A happy bald man,To announce loudly to no one,Fancy little shoes,A crooked awkward jog,To disperse knowledge,A fancy hat you have to wear sideways,The types of bugs that are always in big groups even when moving around,To prevent someone from finding something out,To cover something with a blanket,The feeling of regretting eating something because now you're too full,Nose spray for allergies,To disagree without knowing why,To sneakily browse around,Wiggly and jagged,Really crunchy bread,A big beat up box,Swirly frilly and spinny,A really bad come-back,To hide something away in many layers of protection,Buckles on the Pilgrim hats,Shoes made of wood,Very small and shiny,2,3,5,4,4,5,6,7,3,5,5,3,4,6,5,6,3,3,7,5,6,7,3,2,3
SMB007,"White, not of Hispanic Origin",Female,6/29/1995,30,18,37,A symbol representing a unified group or family,"Script or symbols in a language or code that the reader cannot fathom, and when they attempt to decode it, the symbols appear to change before their eyes",A specific type of statue placed in pairs outside of large communities or public places meant to serve as spiritual guardians,A very small breed of horse that makes a cute house pet,"An announcer for large gatherings, an orator",Soldiers sleeping on the job,"To stomp super loudly, waking up everyone around",To inject one's own opinion into a conversation delicately and subtly,"A pointy, felted hat worn for festivals and decorated with shiny beads",The societal feeling of impending doom and dread,A shelter for emergencies that is hidden well in the landscape and can only be accessed with a secret code or key,"To forge something new, literally or figuratively","The distinct feeling of having forgotten something that one knows they should remember, like a garage door code they've entered many times, but is suddenly forgotten",A fae-like creature that performs pranks on unsuspecting people and animals,To tell someone off in a witty or sarcastic way without much bite to it (friendly/teasing),"To boast loudly, annoying passer-bys, as a distraction while something else is going on behind the scenes","Playful or silly, often accompanied by the connotation of laziness","A small children's toy that is squishy and comes in many different shapes, usually with lots of sides, like a twelve-side die",To go over something over and over again to the point of frustration,A very yummy pasta dish stuffed with cheese and mushrooms (inside a cylindrical pasta case),The button/lever that enables one to adjust their car's steering wheel up or down,"To apologize to someone you have wronged by embarassing oneself, often achieved by reciting bad poetry","A savory aromatic plant used for cooking and baking, gives you a stomach ache if eaten raw","The small, distinct scales on a lizard's skin that form its visible pattern","A dreary, boring day where there is nothing to do and you just want to hibernate",7,2,3,4,1,2,5,5,7,4,,5,7,3,7,7,3,7,6,7,2,4,1,,5
SMB008,Asian or Pacific Islander,Female,4/15/2005,20,17,35,A baby plant that brings hope,Abstaining from an act,Used to describe a simpleton,A final end to a long story,An incision made by a physician during a PAP smear,An accessory or item like shoulder pads,Mimicking a person of interest,Bestowing a sense of beauty,An agreement between friends like a dare,Something you catch while playing outside as kids,A subtle hint given to a friend,Sitting in a feeling,Little creatures that like shiny objects,A small bud at the start of spring,A fancy loofah item,Displaying yourself to be painted,A long lasting rivalry,A defined era,An overlap of unseen proportions,Something that brings about a full circle moment,Abrupt attitude in response,The end of a great day,A food item like cheese curds,Something you can catch but like the cheese touch,A jellyfish-like creature,6,3,4,2,5,2,6,2,3,6,5,3,2,6,3,6,2,1,2,1,5,1,4,2,2
